
"country \ indicator","BMI adults % moderate and severe thinness (<=17)","BMI adults % normal (18.5-24.99)","BMI adults % obese (>=30.0)","BMI adults % overweight (>=25.0)","BMI adults % pre-obese (25.0-29.99)","BMI adults % underweight (<18.5)","BMI females % moderate and severe thinness (<=17)","BMI females % normal (18.5-24.99)","BMI females % obese (>=30.0)","BMI females % overweight (>=25.0)","BMI females % pre-obese (25.0-29.99)","BMI females % underweight (<18.5)","BMI males % moderate and severe thinness (<=17)","BMI males % normal (18.5-24.99)","BMI males % obese (>=30.0)","BMI males % overweight (>=25.0)","BMI males % pre-obese (25.0-29.99)","BMI males % underweight (<18.5)","DES Cereals (calories/day)","DES Fruits, Vegetables, Pulses, Nuts (calories/day)","DES Meat, Fish, Milk, Eggs (calories/day)","DES Oils, Fats, Sugars (calories/day)","DES Other  (calories/day)","DES Roots, Tubers (calories/day)","DES Total (calories/day)","Population Females (1000)","Population Males (1000)","Population Total (1000)"
"Afghanistan","","","","","","","","","","","","","","","","","","","1,252","67","173","118","1","19","1,631","11,101","11,829","22,930"
"Albania","","","","","","","","","","","","","","","","","","","1,277","287","745","474","51","60","2,900","1,536","1,605","3,141"
"Algeria","","","","","","","","","","","","","","","","","","","1,719","236","282","682","10","56","2,987","15,474","15,792","31,266"
"American Samoa","","","74.6","93.5","18.9","0.1","","","80.2","94.4","14","0.2","","","69.3","92.7","23.5","","","","","","","","","29","31","60"
"Andorra","","","","","","","","","","","","","","","","","","","","","","","","","","35","34","69"
"Angola","","","","","","","","","","","","","","","","","","","604","122","143","315","34","734","1,953","6,684","6,500","13,184"
"Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","12"
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","657","237","718","639","88","32","2,381","37","36","73"
"Argentina","","","","","","","","52.3","19.4","44.3","25","3.4","","","","","","","1,031","177","877","844","118","123","3,171","19,364","18,617","37,981"
"Armenia","","","","","","","0.4","52.4","15.5","42.4","27","5.2","","","","","","","1,104","137","279","332","27","110","1,991","1,579","1,492","3,072"
"Aruba","","","","","","","","","","","","","","","","","","","","","","","","","","49","49","98"
"Australia","","39.2","16.4","49.0","39.0","1.0","","42.3","24.0","54.9","31","2.8","","31.0","25.6","67.7","42.1","1.3","661","234","938","1,044","159","90","3,126","9,811","9,733","19,544"
"Austria","","56.0","11.0","42.0","31.0","2.0","","65.0","9.0","31.0","22","4.0","","47.0","13.0","52.0","39.0","1.0","928","265","913","1,274","297","117","3,799","4,142","3,969","8,111"
"Azerbaijan","","","","","","","1.2","47.7","17.9","47.4","30","4.8","0.9","54.8","4.9","43.1","38.3","2.1","1,569","161","298","238","103","103","2,474","4,252","4,045","8,297"
"Bahamas","","","","","","","","","","","","","","","","","","","780","317","749","726","153","44","2,777","157","153","310"
"Bahrain","","","28.9","61.2","32.4","","","","34.1","62.4","28","","","","23.3","60.0","36.7","","","","","","","","","301","408","709"
"Bangladesh","","","","","","","11.7","58.5","1.7","11.8","10","29.7","","","","","","","1,768","70","61","232","11","43","2,187","70,054","73,755","143,809"
"Barbados","","","","60.4","","3.2","","","","63.8","","3.3","","","","55.8","","3.1","867","219","662","926","151","128","2,992","139","131","269"
"Belarus","","","","","","","","","","","","","","","","","","","1,030","98","686","646","146","317","2,925","5,279","4,661","9,940"
"Belgium","","55.3","10.8","44.1","30.2","3.8","","60.0","13.4","37.8","24","5.3","","48.1","9.9","50.6","37.5","2.6","","","","","","","","5,250","5,046","10,296"
"Belize","","","","","","","","","","","","","","","","","","","1,024","466","437","831","70","53","2,886","124","127","251"
"Benin","","","","","","","2.3","71.8","5.8","19.0","13","9.2","","","","","","","901","160","90","339","35","927","2,455","3,332","3,226","6,558"
"Bermuda","","","","","","","","","","","","","","","","","","","695","357","678","786","283","78","2,904","41","40","81"
"Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","1,083","1,107","2,190"
"Bolivia (Plurinational State of)","","","","","","","0.3","48.3","17.4","49.7","32","2.0","","","","","","","943","289","307","465","53","207","2,267","4,341","4,304","8,645"
"Bosnia and Herzegovina","","","21.7","62.9","","","","","25.2","61.4","","","","","16.5","65.1","","","1,325","185","373","628","248","80","2,845","2,085","2,042","4,126"
"Botswana","","","","","","","","","","","","","","","","","","","1,074","227","360","492","93","38","2,292","901","868","1,770"
"Brazil","","55.4","11.1","40.6","29.5","4.0","","54.8","16.0","43.0","27","3.5","","56.1","8.9","41.1","32.2","2.8","908","314","550","1,006","84","136","3,002","89,380","86,878","176,257"
"British Cameroons (Northern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Cameroons (Southern part)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","21"
"Brunei Darussalam","","","","","","","","","","","","","","","","","","","1,369","164","533","574","91","49","2,814","168","182","350"
"Bulgaria","","50.1","12.4","46.0","33.6","3.9","","51.8","19.2","51.4","32","5.9","","48.3","13.4","53.0","39.6","1.6","847","185","642","692","201","57","2,626","4,100","3,865","7,965"
"Burkina Faso","","","","","","","6.4","69.9","2.4","9.3","7","20.8","","","","","","","1,851","78","104","372","56","24","2,485","6,460","6,165","12,624"
"Burundi","","","","","","","","","","","","","","","","","","","249","537","32","60","150","583","1,612","3,385","3,216","6,602"
"Cambodia","","","","","","","6.1","70.1","1.2","9.6","8","20.3","","","","","","","1,501","67","164","185","11","36","1,967","7,095","6,715","13,810"
"Cameroon","","","","","","","2.1","64.6","8.2","28.7","21","6.7","","","","","","","912","320","130","379","59","414","2,242","7,923","7,806","15,729"
"Cameroon 1960","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","","46.7","23.1","59.1","36.1","2.6","","52.1","23.2","53.4","30","4.1","","41.2","22.9","65.0","42.0","1.2","770","313","706","1,146","157","76","3,176","15,790","15,482","31,271"
"Cape Verde","","","","","","","","","","","","","","","","","","","1,640","163","409","919","74","88","3,308","237","217","454"
"Cayman Islands","","","","","","","","","","","","","","","","","","","","","","","","","","20","19","39"
"Central African Republic","","","","","","","3.1","78.0","1.1","6.7","6","15.3","","","","","","","463","162","176","460","21","665","1,949","1,965","1,854","3,819"
"Chad","","","","","","","5.7","72.0","1.5","7.7","4","20.3","","","","","","","1,131","138","132","645","3","196","2,245","4,220","4,128","8,348"
"Chile","","","21.9","59.7","37.8","0.8","","","25.0","57.7","33","1.1","","","19.0","62.2","43.2","0.6","1,146","170","566","794","82","108","2,868","7,885","7,728","15,613"
"China","","58.9","2.9","18.9","16.0","8.0","","56.2","3.4","18.8","15","8.5","","79.7","2.4","19.1","16.7","9.2","1,539","217","540","406","74","178","2,961","618,552","653,851","1,272,403"
"Colombia","","50.2","13.7","46.0","32.3","3.9","0.6","46.5","16.2","49.6","33","3.9","","56.4","10.4","39.9","31.1","3.7","873","285","381","801","47","193","2,580","22,026","21,500","43,526"
"Comoros","","","","","","","","70.5","4.2","19.2","15","10.3","","","","","","","653","298","102","395","3","282","1,735","372","375","747"
"Congo","","","","","","","4.1","61.3","7.5","25.6","","13.2","","","","","","","558","169","128","508","31","822","2,221","1,840","1,793","3,633"
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","18"
"Costa Rica","","","","","","","","","","","","","","","","","","","980","232","475","923","91","55","2,761","2,013","2,082","4,094"
"Croatia","","35.4","22.3","61.4","41.3","0.2","","49.9","22.7","58.2","30","0.2","","20.7","21.6","68.3","41.4","0.1","796","212","502","725","242","202","2,678","2,303","2,135","4,439"
"Cuba","","51.8","11.8","42.5","30.6","7.3","2.3","46.8","15.4","47.0","32","6.2","1.5","57.0","7.9","37.7","29.7","5.3","902","384","320","831","47","156","2,643","5,631","5,640","11,271"
"Cyprus","","49.6","12.3","46.0","33.7","4.3","","54.5","11.8","25.9","27","6.9","","44.4","12.9","53.9","41.0","1.7","866","317","879","969","153","85","3,291","399","397","796"
"Czech Republic","","45.9","15.1","51.7","36.7","2.4","0.8","49.0","22.3","51.5","29","3.7","0.4","42.4","23.9","66.7","42.8","1.0","843","160","648","984","312","147","3,097","5,259","4,986","10,246"
"Czechoslovakia","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","","","","","","","1.7","77.3","5.0","19.5","11","8.2","","","","","","","1,062","260","87","499","36","650","2,594","8,022","8,343","16,365"
"Democratic People's Republic of Korea","","","","","","","","","","","","","","","","","","","1,337","279","118","262","91","114","2,201","11,242","11,299","22,541"
"Democratic Republic of the Congo","","","","","","","5.6","70.3","2.4","11.3","9","18.5","","","","","","","304","90","31","199","30","880","1,535","25,861","25,340","51,201"
"Denmark","","55.3","11.4","41.7","32.3","2.2","","59.7","11.0","37.4","26","3.7","","46.6","11.8","48.6","40.9","0.7","807","227","913","1,055","307","145","3,454","2,701","2,651","5,351"
